Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
Putro Manoe,media/acehbarat/putroemanoe.png,Source: Cookped (2019),https://cookpad.com/id/resep/8609667-kolak-putroe-manoe?ref=search&search_term=putroe%20manoe,"Putro Manoe (Putri Mandi) merupakan panganan sehari-hari khas Aceh Barat. Bentuknya seperti bakso yang kenyal dan rasa manis dari air gula yang menyiraminya. Putro Manoe biasa dijumpai saat Bulan Ramadhan dan banyak dijual dipinggir jalan raya Meulaboh. Adapun bahan yang digunakan ialah, tepung beras ketan, kelapa parut, daun pandan, garam, gula dan kapur sirih. <br><br>Tahapan pembuatannya yaitu: <br>1. Terlebih dahulu beras ketan ditumbuk hingga halus dan diberikan air hingga menjadi adonan yang mudah dibentuk; <br>2. Supaya adonannya terlihat menarik diberikan pewarna merah, kuning dan hijau dari daun pandan yang digiling dengan air, lalu hasil airnya dicampurkan kedalam adonan; <br>3. Lalu adonan dibentuk seperti bakso dan dimasukkan kedalam air yang mendidih sampai beras ketan mengapung ke atas; <br>4. Setelah matang dan mengapung, Putro Manoe ditiriskan; <br>5. Disajikan dengan air gula yang dimasak bersamaan dengan santan. <br><br>Putro Manoe ini bisa ditemukan disalah satu tempat seperti di <a href='https://goo.gl/maps/iyeyJLx4d98cqme4A' target='_blank'>didepan Cafe Kalya Meulaboh</a> di Jl. Imam Bonjol, Desa Drien Rampak, Kecamatan Johan Pahlawan, Kabupaten Aceh Barat, Aceh, Indonesia.",16,Plain,purple,"Jl. Imam Bonjol, Seuneubok, Johan Pahlawan, Aceh Barat, Aceh, Indonesia","4,15825248","96,1265499",,,,
Kue Seupet,media/acehbarat/kueseupet.png,Source: Cookped (2020),https://cookpad.com/id/resep/13755235-kue-semprong?ref=search&search_term=Kue%20Semprong,"Kue Seupet (Kue Semprong) merupakan kudapan tradisional yang hanya disajikan di hari-hari tertentu, seperti Idul Fitri dan Idul Adha. Kue ini diolah dalam bentuk kue kering, karena saat dipanggang kue ini harus cepat dicetak dengan cara di jeupet (dilipat atau ditekan) agar hasilnya sempurna serta menarik. <br><br>Kue ini terbuat dari tepung beras yang halus, gula, garam, telur dan santan kental. Semua bahan dicampur sampai rata hingga tidak ada lagi butiran gula pada adonan. Kemudian adonan ini dimasukan kedalam loyang yang terbuat dari besi yang berbentuk jepitan lalu dibakar diatas kayu setelah dimasak dilipat seperti segi tiga dan siap disusun dalam toples. <br><br>Kue Seupet ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/ddCtJoxDXbZRBmEM8' target='_blank'>Toko Langganan Abar Nara</a> di Jl. Meulaboh - Tapaktuan, Desa Peunaga Rayeuk, Kecamatan Meureubo, Kabupaten Aceh Barat, Aceh, Indonesia.",16,Plain,purple,"Jl. Meulaboh - Tapaktuan, Peunaga Rayeuk, Meureubo, Aceh Barat, Aceh, Indonesia","4,13767834","96,1643565",,,,
Kopi Khop,media/acehbarat/kopikhop.png,Screenshot of linked Google Maps.,https://goo.gl/maps/rCbJFgxoNLNo7DSEA,"Kupi Khop (Kopi Tubruk) adalah olahan kopi robusta khas Meulaboh, Aceh Barat. Kopi tersebut menggunakan bubuk kopi yang agak kasar dan disajikan pada gelas yang ditempatkan dalam keadaan terbalik disebuah piring kecil. Selain dari cara penyajiannya yang unik, cara meminumnya pun terbilang berbeda dengan kopi lainnya. Cara menyeruput kopi khop ini dapat dilakukan dengan cara menghembuskan pipet yang ditekan pada gelas terbaik. Air kopi tersebut akan keluar dan memenuhi piring kecil, tunggu hingga dingin barulah kopi khop dapat dinikmati sampai menyisakan ampas kopi yang ada didalam gelas terbalik tersebut. <br><br>Minuman ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/JcS4Qrpt8T8LiT6L9' target='_blank'>Warkop Pante Keunangan</a> di Desa Kuta Padang, Kecamatan Johan Pahlawan, Kabupaten Aceh Barat, Aceh, Indonesia.",16,Plain,blue,"Jl. Syiah Kuala, Kuta Padang, Johan Pahlawan, Meulaboh, Aceh Barat, Aceh, Indonesia","4,15152467","96,1176273",,,,
Boh U Tot,media/acehbarat/bohutot.png,Screenshot of linked Google Maps.,https://goo.gl/maps/bUUpP1r2i1VEURCR9,"Boh U Tot (Kelapa Bakar) merupakan kelapa yang masih muda dengan kualitas daging yang bagus dan masih dapat dikerok. Gurih bercampur dengan aroma arang menjadi rasa unggulan dari kelapa bakar ini. Harganya yang terjangkau menjadikan minuman ini bisa dinikmati dari semua kalangan. <br><br>Proses pembuatannya adalah, kelapa yang sudah disortir akan dibakar. Proses yang paling sulit untuk membuat kelapa bakar ini adalah memisahkan antara kulit dan batok kelapa. Kesulitannya karena kelapa yang dibakar tersebut sangat panas, dan jika tidak hati-hati, pada saat membersihkannya tangan kita bisa terbakar. Kelapa yang sudah matang akan direndam dalam bak mandi ataupun wajan berisi air agar suhunya menjadi dingin. <br><br>Minuman ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/wTfuW13Nssu5wFcw8' target='_blank'>Warung Dek RY</a> di Jl. Meulaboh - Banda Aceh, Desa Seuneubok, Kecamatan Johan Pahlawan, Kabupaten Aceh Barat, Aceh, Indonesia.",16,Plain,blue,"Jl. Meulaboh - Banda Aceh, Seuneubok, Johan Pahlawan, Aceh Barat, Aceh, Indonesia","4,17056068","96,1148367",,,,
Jruk Drien,media/acehbarat/jrukdrien.png,Source: Cookped (2018),https://cookpad.com/id/resep/4058093-jruk-drien-asam-durian?ref=search&search_term=Jruk%20Drien,"Jruk Drien (Durian yang difermentasikan atau diasamkan) atau sering kita sebut asam durian ini memiliki rasa yang agak asam-asam. Durian yang akan dijadikan jruek biasanya durian yang sudah masam. Selanjutnya, daging durian tersebut dipisahkan dari bijinya dan ditampung dalam stoples dalam kurun waktu seminggu. Semakin asam dan pekat jruek tersebut, maka kualitas rasanya semakin enak. Dahulu Jruk Drien tersebut disimpan dalam potongan pacok (bambu), sekarang dimasukkan kedalam tempat yang kedap udara dan disimpan didalam lemari es (kulkas), Jruk Drien akan bertahan lebih lama bahkan berbulan-bulan. <br><br>Jruk Drien biasa dicampurkan untuk menjadi bumbu masakan seperti, Gulee Jruk Drien, Gulee Jruk On Paku, dan lain sebagainya. Sebagian besar masyarakat Aceh Barat sangat menyukai masakan yang satu ini, apalagi kalau disantap dengan Sie Tho, ikan asin dan telur asin. <br><br>Bumbu ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/K8uB9vPNAQqG5p1y7' target='_blank'>Warung Dapur Bumbu Kita</a> di Jl. Bungong Jaroe, Desa Seuneubok, Kecamatan Johan Pahlawan, Kabupaten Aceh Barat, Aceh, Indonesia.",16,Plain,green,"Jl. Bungong Jaroe, Seuneubok, Johan Pahlawan, Aceh Barat, Aceh, Indonesia","4,16603214","96,1147103",,,,
Pliek U,media/acehbarat/pliku.png,Source: Cookped (2021),https://cookpad.com/id/resep/14738952-pliek-ue-kelapa-fermentasi-patarana?ref=search&search_term=Bumbu%20Plik%20U,"Pelik U (Ampas minyak kelapa) merupakan kelapa yang telah dibusukkan. Kelapa yang dibusukkan di sini bukanlah kelapa yang sengaja dibiarkan busuk, tetapi daging kelapa parut yang sengaja dibiarkan dalam kurun waktu tertentu agar minyaknya keluar. Hal ini sama seperti dengan fermentasi tapai. Selanjutnya, daging kelapa parut itu diperas lagi dengan alat tertentu, yakni peunerah ‘alat pemeras minyak’ agar minyaknya benar-benar keluar. Jadilah plik bumbu utama kuah plik. Namun, plik tersebut belumlah dapat dijadikan bumbu utama plik, melainkan harus dikeringkan terlebih dahulu. <br><br>Bumbu Plik yang sudah jadi, dapat digunakan pada berbagai macam masakan gulee pelik u, bahkan ada dibeberapa kudapan salah satunya salak plik (manisan salak) yang ditaburi bumbu pelik dan garam yang cocok untuk disantap. <br><br>Bumbu ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/K8uB9vPNAQqG5p1y7' target='_blank'>Warung Dapur Bumbu Kita</a> di Jl. Bungong Jaroe, Desa Seuneubok, Kecamatan Johan Pahlawan, Kabupaten Aceh Barat, Aceh, Indonesia.",16,Plain,green,"Jl. Bungong Jaroe, Seuneubok, Johan Pahlawan, Aceh Barat, Aceh, Indonesia","4,16597655","96,1146636",,,,
Asinan Rumbia,media/acehbarat/asinanrumbia.png,Source: Teuku Annas (2018),https://steemit.com/aceh/@teukuannas/buah-yang-kaya-akan-manfaat,"Aceh Barat dikenal sebagai daerah penghasil buah rumbia terbanyak di Provinsi Aceh dan Aceh Barat telah mematenkan buah rumbia tersebut dengan nama Salak Aceh. Karena rasanya yang pahit, buah rumbia sangat cocok dikonsumsi untuk obat diare. Dipastikan dengan mengonsumsi buah rumbia diare akan hilang dalam waktu sekejap. <br><br>Rumbia merupakan buah-buahan yang wajib ditambahkan pada rujak Aceh. Namun, untuk menghilangkan rasa pahit, buah ini sering dijadikan asinan. Proses pembuatannya ada yang dilakukan secara sederhana, yakni merendamnya dengan air laut. Ada sebagian lainnya yang merebus rumbia ini dengan air garam. <br><br>Asinan rumbia hanya akan dijumpai pada pedagang buah di seputar <a href='https://goo.gl/maps/Qi2PPJfpb8TeJMQR7' target='_blank'>Jalan Nasional Meulaboh – Banda Aceh</a>, tepatnya di Kecamatan Arongan Lambalek, Kabupaten Aceh Barat. Selain dari itu, pembeli tidak akan menemukan asinan rumbia.",16,Plain,green,"Jl. Nasional Meulaboh – Banda Aceh, Arongan Lambalek, Aceh Barat, Aceh, Indonesia","4,33359997","95,9540684",,,,
Simeulue,,,,"Kabupaten Simeulue merupakan pemekaran dari Kabupaten Aceh Barat Tahun 1999. Kontribusi dalam sektor pertanian mengalami peningkatan setiap tahunnya serta dalam perkembangan pembangunan juga semakin ditingkatkan. Kabupaten Simeulue memiliki daya tarik, mulai dari wisata alam sampai wisata kuliner yang tidak terlalu banyak namun menggoyang lidah. <br><br>Berikut ini ditampilkan kuliner tradisional khas Kabupaten Simeulue.",10,Hidden,,Simuelue,"2,71947122","96,0223751",,,,
Memek,media/simeulue/memek.png,Source: Fitri Juliana (2019),https://acehtourism.travel/kuliner-hiburan/06/2019/memek-makan-khas-simeulue-yang-menggugah-selera/,"Memek berasal dari kata mamemek dalam bahasa Devayan yang berarti megunyah atau menggigit merupakan makanan khas Sinabang, Simeulue. Makanan ini biasa disajikan saat Ramadhan dan disimbolkan sebagai hidangan penghormatan kepada tamu yang datang ke daerah tersebut. Bentuknya seperti bubur, teksturnya lembut serta rasanya yang manis dan renyah. <br><br>Bahan yang digunakan terdiri dari, beras ketan 200 gr, santan atau kelapa parut yang diperas dengan air hangat 250 ml, pisang kepok/raja/barangan 10 buah, gula pasir 150 gr, gula merah 30 gr, garam ½ sdt dan daun pandan 2 lembar. <br><br>Proses pembuatannya mudah, namun membutuhkan waktu cukup lama. Adapun cara membuatnya adalah sebagai berikut: <br>1. Rendam beras ketan selama 2-3 jam, tiriskan. Kemudian sangrai hingga harum dan bertekstur kering, aduk terus jangan sampai beras menggumpal, tunggu hingga kering dan warnanya menguning, lalu dinginkan. <br>2. Panaskan santan atau kelapa parut yang diperas langsung dengan air hangat. <br>3. Masukkan daun pandan, gula pasir, gula merah dan garam. Aduk hingga matang dan jangan sampai santan pecah, saringkan. <br>4. Kupas pisang dan lumatkan. <br>5. Gabungkan ketan gongseng, pisang halus dan santan yang sudah dimasak. Memek siap untuk dinikmati. <br><br>Mamemek ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/bHyiTRyDBzVGnuuY7' target='_blank'>Pantai Alaek Sektare</a>, Desa Lantik, Kecamatan Teupah Barat, Kabupaten Simeulue, Aceh, Indonesia.",16,Plain,red,"Desa Lantik, Kecamatan Teupah Barat, Kabupaten Simeulue, Aceh, Indonesia.","2,43292843","96,2582522",,,,
Mi Lobster,https://www.youtube.com/embed/HysDGV0LdjQ,"Source: ""Mie Lobster Simeulue Sangat Lezat"" (2020), a film by Bang Sehat",https://youtu.be/HysDGV0LdjQ,"Mi lobster merupakan panganan khas Simeulue yang dibuat seperti mi Aceh, hanya saja ada tambahan wajibnya yaitu lobster yang digoreng ataupun direbus yang sudah diberi bumbu. Kekhasan rasa rempah yang pedas dari bumbu mi serta rasa segar dan manis dari lobsternya. Harga disesuaikan berdasarkan ukuran dan jenis lobsternya. <br><br> Bahan yang digunakan terdiri dari, mi kuning 1 kg, 4 ekor lobster ukuran sedang, kol, 2 genggam tauge, 2 batang daun bawang, 3 siung bawang putih, 8 siung bawang merah, 10 buah cabe merah, 1 buah tomat, 6 buah cabe rawit, ½ sdt adas, ½ sdt jintan, ½ sdt kunyit bubuk, ½ sdt kapulaga bubuk, ½ sdt merica bubuk, 1 sdm bubuk kari, 1 butir bunga lawang, kecap manis, garam, dan air. <br><br>Adapun cara membuat mi lobster adalah sebagai berikut: <br>1. Bersihkan lobster dan belah menjadi 2 bagian. <br>2. Iris 1 siung bawang putih, 3 siung bawang merah, 4 buah cabe merah, 1 buah tomat, 2 batang daun bawang dan kol secukupnya. <br>3. Haluskan 3 siung bawang merah, 2 siung bawang putih, 6 buah cabai merah, 6 buah cabe rawit, ½ sdt adas, ½ sdt jintan, ½ sdt kunyit bubuk, ½ sdt kapulaga bubuk, ½ sdt merica bubuk dan 1 sdm bubuk kari. <br>4. Panaskan minyak, masukkan lobster dan bahan yang sudah diiris, tumis hingga layu, lalu masukkan bumbu halus dan 1 butir bunga lawang, tumis hingga harum. <br>5. Masukkan air, tunggu hingga mendidih. Masukkan kecap manis dan garam secukupnya. Kemudian masukkan mi kuning, lalu aduk rata. <br>6. Setelah matang sajikan dengan taburan bawang goreng, acar, potongan timun dan kerupuk. <br><br>Mi Lobster ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/KqC2p31b196DiYgv6' target='_blank'>Warung Mie Sinan</a> di Jl. Tim, Desa Sinabang, Kecamatan Simeulue Timur, Kabupaten Simeulue, Aceh, Indonesia.",16,Plain,red,"Jl. Tim, Desa Sinabang, Kecamatan Simeulue Timur, Kabupaten Simeulue, Aceh, Indonesia.","2,47683978","96,3814957",,,,
Tabaha,media/simeulue/tabaha.png,Source: Aleena K (2022),https://www.libur.co/kulinery/makanan-khas-simeulue,"Tabaha merupakan panganan khas Simeulue yang terbuat dari tepung sagu. Panganan ini bukan makanan pokok melainkan panganan alternatif saat masa penjajahan Belanda. Banyak warga yang tidak sempat menanam padi kala itu, sehingga warga setempat berinisiatif menggunakan sagu sebagai penggantinya. Memiliki rasa renyah dengan manis diujung lidah membuat tabaha terbagi menjadi 2 bagian, yaitu tabaha longon dan tabaha loyang. Keduanya memakai bahan utama yang sama, perbedaannya terletak pada bahan pendukungnya dan dari proses memasaknya. <br><br>Adapun bahan yang digunakan untuk membuat tabaha longon ataupun tabaha loyang adalah sebagai berikut, tepung sagu, daging kelapa, air, pisang dan daun pisang (untuk tabaha longon). <br><br>Kedua jenis tabaha memiliki cara pengolahan yang sama yaitu, tepung sagu disaring terlebih dahulu kemudian dicampurkan dengan air secukupnya. Selanjutnya haluskan daging kelapa yang tidak terlalu tua dan campurkan dengan tepung sagu tadi. Kemudian adonan dimasak dengan setipis mungkin, lalu di sangrai hingga kandungan airnya berkurang. Untuk tabaha longon, adonan dicampurkan pisang yang sudah dilumatkan dan proses memasaknya menggunakan alas lapisan daun pisang agar adonan tidak cepat gosong dan aromanya lebih khas daripada tabaha loyang. Sementara untuk tabaha loyang dinikmati dengan kuah kain ataupun kuah ikan lainnya sesuai selera. <br><br> Tabaha ini bisa didapatkan saat kita berwisata di <a href='https://goo.gl/maps/bieAiU3BGsFrYCdG6' target='_blank'>Pantai Lantik</a>, Desa Lantik, Kecamatan Teupah Barat, Kabupaten Simeulue, Aceh, Indonesia.",16,Plain,purple,"Desa Lantik, Kecamatan Teupah Barat, Kabupaten Simeulue, Aceh, Indonesia.","2,43347131","96,257489",,,,
Lompong Sagu,media/simeulue/lompongsagu.png,Source: Karang Taruna Kabupaten Simeulue,https://fpktsimeulue.wordpress.com/makanan-khas-daerah/,"Lompong sagu merupakan panganan yang banyak ditemui di berbagai kawasan lainnya, salah satu Simeulue. Batang rumbia yang menjadi hasil alam yang banyak membuat panganan ini mudah ditemui. Panganan jenis kue ini memiliki rasa yang gurih, berwarna kecokelatan dan bentuknya yang menarik. <br><br>adapun bahan yang digunakan untuk membuat lompong sagu adalah tepung sagu, pisang kepok, santan, kelapa parut, gula aren dan daun pisang. <br><br>Proses pengolahannya adalah sebagai berikut, tepung sagu terlebih dahulu disaring kemudian dicampurkan dengan pisang kepok yang sudah dilumatkan. Campurkan adonan dengan larutan gula aren, kelapa parut secukupnya dan santan, aduk hingga adonan merata. Selanjutnya, adonan dibungkus sesuai selera menggunakan daun pisang, lalu masak dengan cara dipanggang atau dibakar hingga matang. Proses pembakaran inilah yang membuat aroma lompong sagu menggugah selera. <br><br>Lompong Sagu ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/bHyiTRyDBzVGnuuY7' target='_blank'>Pantai Alaek Sektare</a>, Desa Lantik, Kecamatan Teupah Barat, Kabupaten Simeulue, Aceh, Indonesia.",16,Plain,purple,"Desa Lantik, Kecamatan Teupah Barat, Kabupaten Simeulue, Aceh, Indonesia.","2,43288177","96,2581163",,,,
Nagan Raya,,,,"Kabupaten Nagan Raya merupakan pemekaran dari Kabupaten Aceh Barat Tahun 2002. Kabupaten ini memiliki usaha peternakan dan perkebunan yang subur. Selain sumber pertanian yang melimpah, Kabupaten Nagan Raya juga memiliki kuliner yang tak kalah melimpah juga. <br><br>Berikut ini ditampilkan kuliner tradisional khas Kabupaten Nagan Raya.",10,Hidden,,Nagan Raya,"4,20918211","96,4918134",,,,
Eungkot Limbek,media/naganraya/eungkotlimbek.png,Source: Sinta Listiyana (2021),https://www.idntimes.com/food/diet/sinta-listiyana-2/kuliner-khas-nagan-raya-c1c2?page=all,"Eungkot Limbek merupakan olahan gulai ikan lele khas Nagan Raya. Kuliner primadona ini berbahan dasar ikan lele tersebut memiliki tekstur kuah sedikit kental dan rasa yang gurih. Untuk pengolahannya, menggunakan ikan lele kampung. Lele ini berbeda dengan lele ternak yang biasa kita makan di warung makan lainnya. Lele kampung ini berwarna lebih hitam dengan ukuran lebih kecil dan rasanya jauh lebih nikmat. Lele (limbek) ini biasa di dapat dari hasil tangkapan menggunakan bubee/bubu di sungai atau rawa-rawa. <br><br>Adapun bahan utama yang perlu disiapkan adalah, 4 ekor ikan lele, 500 ml air, garam secukupnya, 1 lembar daun salam, 2 sendok teh gula pasir, 8 buah cabe rawit merah, 3 sendok makan minyak goreng, 3 lembar daun jeruk, 1 ikat daun kemangi dan 1 batang serai yang dimemarkan. <br>Serta bahan untuk bumbu halus yang perlu disiapkan adalah, 4 siung bawang putih, 4 butir bawang merah, 6 buah cabe merah keriting dan 3 cm kunyit bakar. <br><br>Adapun cara membersihkan ikan lele sebelum diolah adalah sebagai berikut: <br>1. Sebelum memasak dan mengolah ikan lele, akan lebih baik jika kita kupas terlebih dahulu bagaimana cara membersihkan ikan lele agar bersih secara merata. Nah sebelum itu, perlu diketahui bahwa ada beberapa bagian pada ikan lele yang harus dibuang dan dibersihkan, bagian tersebut adalah insang ikan, jeroan ikan dan juga lendir pada ikan. Sementara itu, bagian pertama yang akan dibersihkan terlebih dahulu adalah bagian lendir yang ada ditubuh ikan. Untuk membersihkan bagian ini, anda bisa melakukannya dengan cara, taburkan abu gosok pada tubuh ikan dan gosok-gosokan ikan hingga kesat. Setelah itu, bilas kembali ikan dengan air bersih untuk menghilangkan kotoran bekas abu gosok. <br>2. Selanjutnya, bersihkan pula bagian insang yang ada dikepala ikan. Untuk membersihkan bagian ini anda bisa melakukannya dengan menggunakan tangan, lalu bersihkan insang ikan hingga merata. <br>3. Kemudian bagian terakhir pada ikan yang harus dibersihkan adalah bagian jeroan ikan. Jeroan ini letaknya ada dibagian perut ikan. Untuk itu, agar anda bisa menjangkau bagian perut ikan dibagian dalam, maka gunakan pisau untuk membelah perut ikan dan keluarkan jeroannya dengan menggunakan tangan hingga bersih. <br>4. Apabila semua bagian ikan sudah dibersihkan secara merata, silakan lumuri ikan dengan menggunakan air jeruk nipis dan garam sedikit bagian saja. Lalu lumurkan secara merata. Setelah itu, diamkan sementara ikan hingga bumbu ini meresap kedalam ikan secara merata. <br><br>Adapun cara pengolahan eungkot limbek adalah sebagai berikut: <br>1. Panaskan wajan diatas kompor yang menyala dengan api sedang. Lalu tuangkan minyak jika wajan mulai panas. Tunggu hingga minyak dalam wajan menjadi lebih panas. <br>2. Setelah itu, silahkan tumis bumbu yang telah dihaluskan bersama dengan serai, daun jeruk dan juga daun salam hingga tercium bau harum yang lezat dan sedap. <br>3. Setelah tumisan harum, angkat tumisan dan masukkan bumbu tumisan ini dalam air pada panci. <br>4. Lalu didihkan air dan kecilkan api, tunggu hingga bumbu harum dalam panci. Setelah itu, baru masukkan ikan dan masukkan garam juga garam. Aduk merata dan masak hingga bumbu matang dan meresap pada ikan. <br>5. Menjelang diangkat, masukkan daun kemangi ke dalamnya bersama dengan cabe rawit. Masak sebentar dan angkat. <br>6. Jika ikan sudah matang, sajikan ikan dalam piring saji dan nikmati selagi masih hangat. <br><br>Eungkot Limbek ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/xB9bm8XD9Dad5ieT8' target='_blank'>Waroeng Limbek Syedara Tanyoe</a> di Desa Langkak, Kecamatan Kuala Pesisir, Kabupaten Nagan Raya, Aceh, Indonesia.",16,Plain,red,"Desa Langkak, Kecamatan Kuala Pesisir, Kabupaten Nagan Raya, Aceh, Indonesia.","4,06140379","96,2441983",,,,
Mie Kerang,media/naganraya/miekerang.png,Source: Sinta Listiyana (2021),https://www.idntimes.com/food/diet/sinta-listiyana-2/kuliner-khas-nagan-raya-c1c2?page=all,"Mengingat letaknya yang berada di kawasan pesisir pantai, tidak heran jika Nagan Raya memiliki kuliner khas yang berbasis makanan laut, salah satunya mie kerang. Makanan khas Suka Makmue, Nagan Raya ini memiliki tampilan seperti mie Aceh, hanya saja keranglah yang menjadi topping utamanya. Cita rasa yang khas dari mie kerang berasal dari campuran berbagai macam bumbu rempah-rempah lokal yang digunakan. <br><br>Adapun bahan utama yang perlu disiapkan adalah, 250 gram mie kuning basah, 150 gram kerang basah, segenggam tauge, 1 batang seledri iris halus, 1 batang daun bawang prei iris halus, merica, garam, kaldu jamur, 1 sdt kaldu bubuk udang, 2 sdm kecap manis, 1 butir telur ayam kocok lepas dan air secukupnya. <br>Serta bahan untuk bumbu halus yang perlu disiapkan adalah, 7 buah cabe merah keriting, 7 buah rawit merah, 5 siung bawang merah, 4 siung bawang putih, 1 ruas jari kunyit bakar, 2 butir kapulaga, 1 butir bunga lawang, ¼ sdt jinten, sejumput adas dan 2 butir cengkeh. <br><br>Adapun cara pengolahan mie kerang adalah sebagai berikut: <br>1. Bersihkan kerang dari sisa-sisa pasir di cangkangnya, tiriskan. <br>2. Tumis bumbu halus hingga wangi, tambahkan kerang, tumis sebentar, lalu tambahkan telor ayam, aduk rata. <br>3. Tambahkan tauge, masak sebentar, tambahkan sedikit air. lalu masukkan mie basah, aduk rata. <br>4. Tambahkan kaldu udang, kaldu jamur, garam dan merica bubuk, aduk rata. Masukkan kecap manis, aduk rata. <br>5. Terakhir masukkan seledri dan bawang prei yang sudah diiris, masak hingga bumbu meresap. <br>6. Sajikan dengan emping, acar bawang, potongan timun dan tomat. <br><br>Mie Kerang ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/2uKeK9pei31puVGs5' target='_blank'>Warung Mie Kerang Simpang Polres</a> di Desa Ujong Patihah, Kecamatan Kuala, Kabupaten Nagan Raya, Aceh, Indonesia.",16,Plain,red,"Desa Ujong Patihah, Kecamatan Kuala, Kabupaten Nagan Raya, Aceh, Indonesia.","4,12733916","96,3241932",,,,
Gulee Empeuk Seunge,media/naganraya/guleseunge.png,Source: Kreasi Makan (2022),https://kreasimasakan.com/gulai/14072296-gulai-keladi-talas-ikan-asin.html,"Gulee Empeuk Seunge atau gulai talas merupakan makanan khas Nagan Raya. Kuliner ini disajikan sebagai menu sehari-hari maupun pada acara tertentu seperti kenduri tujuh bulanan, kenduri orang meninggal dan sebagainya. Gulai istimewa ini memiliki tekstur yang lunak dan licin, sehingga gulai ini dihidangkan sebagai sayur pelengkap di acara-acara adat tersebut. <br><br>Adapun bahan utama yang perlu disiapkan adalah, 2 batang keladi, ikan asin secukupnya, ¼ kg santan kental, 4 sdm cabe merah dihaluskan, air dan garam secukupnya. <br>Serta bahan untuk bumbu halus yang perlu disiapkan adalah, 1½ jari lengkuas, 1 jari kunyit, ½ jari jahe, 3 buah kemiri, 5 siung bawang putih, 7 siung bawang merah, 2 buah serai, 3 lembar daun salam dan daun jeruk. <br><br>Adapun cara pengolahan gulee empeuk seunge adalah sebagai berikut: <br>1. Bersihkan batang keladi, potong-potong. Cuci bersih dan tiriskan. <br>2. Rendam talas yang sudah bersih dengan air garam selama 15 menit, saring. <br>3. Goreng hingga rapuh ikan asin, dinginkan. <br>4. Haluskan semua bahan bumbu halus. Tumis hingga harum, lalu masukkan batang keladi, aduk hingga ½ matang atau sampai batang keladi menciut. <br>5. Masukkan air sedikit. Kemudian masukkan cabe merah yang sudah dihaluskan sebelumnya. Aduk rata. <br>6. Masukkan ikan asin dan garam. Koreksi rasa. Masak hingga matang. Sajikan. <br><br>Gulee Empeuk Seunge ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/MVjtxdrEG9mQsvST7' target='_blank'>Warung Makan Simpang Peut</a> di Desa Simpang Peut, Kecamatan Kuala, Kabupaten Nagan Raya, Aceh, Indonesia.",16,Plain,red,"Desa Simpang Peut, Kecamatan Kuala, Kabupaten Nagan Raya, Aceh, Indonesia.","4,11870278","96,2927494",,,,
